Libellé;CIP13
ARIPIPRAZOLE SANDOZ 10 mg, comprimé orodispersible, ARIPIPRAZOLE : 10 mg pour un comprimé, comprimé orodispersible, 28 plaquette de 1 comprimé;3400930043431
BLEOMYCINE ACCORD 15000 UI, poudre pour solution injectable / pour perfusion, SULFATE DE BLÉOMYCINE, poudre pour solution injectable ou pour perfusion, 1 flacon de 6 ml;3400930116579
VANCOMYCINE VIATRIS 125 mg, poudre pour solution à diluer pour perfusion, CHLORHYDRATE DE VANCOMYCINE : 125 mg pour un flacon, poudre pour solution à diluer pour perfusion, 1 flacon(s) en verre;3400956258451
BUCCOLAM 10 mg, solution buccale, CHLORHYDRATE DE MIDAZOLAM, solution, 4 seringue préremplie de 2 ml;3400922108711
"SYNACTHENE RETARD 1 mg/1 ml, suspension injectable I.M., CHLORURE DE ZINC : 2,50 mg pour 1 ml de suspension injectable I.M. ; TÉTRACOSACTIDE : 1,00 mg pour 1 ml de suspension injectable I.M., suspension injectable, 1 ampoule de 1 ml";3400931025863
KETOCONAZOLE BIOGARAN 2 %, gel en sachet-dose, KÉTOCONAZOLE : 120 mg pour un sachet-dose 6 g, gel, 8 sachet de 6 g;3400938415797
LYSOPAÏNE MAUX DE GORGE AMBROXOL CITRON 20 mg SANS SUCRE, pastille édulcorée au sorbitol et au sucralose, CHLORHYDRATE D'AMBROXOL : 20 mg pour une pastille, pastille, plaquette de 18 pastilles;3400922286358
SIMPONI 50 mg, solution injectable en seringue préremplie, GOLIMUMAB : 50 mg pour une seringue préremplie, solution injectable, 1 seringue préremplie de 0,5 ml avec aiguilles;3400939730974
OXOMEMAZINE VIATRIS 0,33 mg/mL SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique, OXOMÉMAZINE : 0,033 g pour 100 ml de solution buvable, solution buvable, 1 flacon de 150 ml avec gobelets doseurs polypropylène;3400949215539
PROTAMINE CHOAY 1000 U.A.H./ml, solution injectable, SULFATE DE PROTAMINE : 1 000 Unités Antihéparine pour 1 mL de solution injectable, solution injectable, 1 flacon de 10 ml;3400931011736
"AMLODIPINE/VALSARTAN KRKA 5 mg/160 mg, comprimé pelliculé, VALSARTAN : 160 mg pour un comprimé ; BÉSILATE D'AMLODIPINE, comprimé pelliculé, plaquette de 30 comprimés";3400930166772
"AMLODIPINE/VALSARTAN KRKA 5 mg/160 mg, comprimé pelliculé, VALSARTAN : 160 mg pour un comprimé ; BÉSILATE D'AMLODIPINE, comprimé pelliculé, plaquette de 90 comprimés";3400930166789
LAMOTRIGINE ARROW LAB 200 mg, comprimé dispersible ou à croquer, LAMOTRIGINE : 200 mg pour un comprimé, comprimé dispersible ou à croquer, plaquette de 30 comprimés;3400921967920
"BUDESONIDE/FORMOTEROL SANDOZ FORSPIRO 320 microgrammes/9 microgrammes/dose, poudre pour inhalation en récipient unidose, BUDÉSONIDE : 320 microgrammes pour une dose délivrée ; FUMARATE DE FORMOTÉROL DIHYDRATÉ : 9 microgrammes pour une dose délivrée, poudre pour inhalation, 1 plaquette de 60 doses avec inhalateur en plastique";3400930223024
BALVERSA 5 mg, comprimé pelliculé, ERDAFITINIB : 5 mg pour un comprimé, comprimé pelliculé, 1 flacon de sécurité enfant de 28 comprimés;3400930301043
"SENOPHILE, pommade, OXYDE DE ZINC : 5,00 g pour 100 g de pommade ; BENZOATE DE CHOLÉSTÉROL : 1,00 g pour 100 g de pommade, pommade, 1 tube de 50 g";3400930957974
MONOSEPT 0,25 POUR MILLE (0,1 mg/0,4 ml), collyre en solution en récipient unidose, CÉTHEXONIUM (BROMURE DE) : 0,1 mg pour un récipient unidose, collyre en solution, 30 récipient unidose de 0,4 ml;3400936366848
VIALEBEX 200 g/L Nouveau-nés et nourrissons, solution pour perfusion, ALBUMINE HUMAINE : 200 mg pour 1 mL de solution, solution pour perfusion, 1 flacon de 10 ml;3400956450848
TRAMADOL CRISTERS LP 150 mg, comprimé pelliculé à libération prolongée, CHLORHYDRATE DE TRAMADOL : 150 mg pour un comprimé, comprimé pelliculé à libération prolongée, plaquette de 10 comprimés;3400930268063
TRAMADOL CRISTERS LP 150 mg, comprimé pelliculé à libération prolongée, CHLORHYDRATE DE TRAMADOL : 150 mg pour un comprimé, comprimé pelliculé à libération prolongée, plaquette de 30 comprimés;3400949363940
EPIRUBICINE HIKMA 2 mg/ml, solution intravésicale/solution injectable, CHLORHYDRATE D'ÉPIRUBICINE : 2 mg pour 1 mL de solution, solution ou injectable, 1 flacon de 100 mL;3400955072164
"ACTYNOX 50 %/50 % v/v, gaz médicinal comprimé, OXYGÈNE : 50 % mole/mole pour une bouteille ; PROTOXYDE D'AZOTE : 50 % mole/mole pour une bouteille, gaz, 1 bouteille de 5 l munie d'un robinet en laiton avec manodétendeur et raccord de sortie normalisé";3400930089002
