code à 7 chiffres;libellé;url
1125086;COAGUL TISSUS CARD PAR RADIOFR, ATRICURE, EPI-SENSE GUIDED COAGULATION SYSTEM;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1125086&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1125117;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,IDENTITES 49;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1125117&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1125420;NUT. ORALE, HYDROLYSAT PROT, ENFANT, PDR, 15 RATIONS 200 ML,MEAD JOHNSON;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1125420&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1126513;URO-GENITAL, ELECTROSTIMULATEUR NEUROMUSCULAIRE, ACHAT,PIERENKEMPER;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1126513&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1126542;NUT. ENTERALE, SONDE GASTROSTOMIE OU JEJUNOSTOMIE, RENOUV,HOIST MEDICAL;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1126542&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1126660;PERFUSION, ACCESSOIRES POUR HEPARINER, CHAMBRE A CATHETER OU CATHETER CENTRAL;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1126660&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1127435;AUTOCONTROLE, 200 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,PIKDARE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1127435&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1127978;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,PRIM;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1127978&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1128044;TIRE-LAIT, ACHAT KIT TETERELLE, BIBERON, TUBE DE RACCORDEMENT.,BEURER FRANCE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1128044&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1128200;NUT. ENTERALE, SONDE GASTROSTOMIE OU JEJUNOSTOMIE, RENOUV,MYHOMECARE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1128200&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1128423;CHAMBRE D INHALATION, RESPIRATOIRE, MASQUE AVEC OU SANS EMBOUT,KOO EUROPE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1128423&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1128630;NUT. ENTERALE, ADULTE, MEL POLY HP HE, 500 ML,NUTRICIA;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1128630&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1129061;ALIMENT SANS GLUTEN, FARINE, 3000 G,BAISLE EMILIE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1129061&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1129210;AUTOCONTROLE, AUTOPIQUEUR,BEURER FRANCE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1129210&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1129724;NUT. ENTERALE, AD., MEL POLY NORMOPROT. NORMOENERG, 500 ML,FRESENIUS KABI;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1129724&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1129747;NUT. ENTERALE, ADULTE, MEL POLY NORMOPROT. NORMOENERG, 1 500 ML,NUTRICIA;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1129747&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1130147;INCONTINENCE, ETUI PENIEN EXTENSIBLE AUTOADH;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1130147&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1130236;NUTRITION ENTERALE, NUTRICIA, NUTRIMENT HYPERENERGETIQUE,NUTRINI NRJ MULTIFIBRES;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1130236&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1130325;AUTOCONTROLE DU GLUCOSE INTERSTITIEL, FORFAIT INIT, DEXCOM, DEXCOM G6;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1130325&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1130354;D01.3;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1130354&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1130578;NUTRITION ENTERALE, SONDE EN PVC NASO GASTRIQUE OU NASO ENTERALE,HOMESET;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1130578&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1130897;NEUROSTIM ELEC TRANSCUTANEE, EXPANSCIENCE, VITALITENS, ACHAT DE L APPAREIL.;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1130897&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1131218;NUT. ORALE, HYDROLYSAT PROT, ENFANT, PDR, 15 RATIONS 200 ML,MEAD JOHNSON;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1131218&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1131307;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,BAUERFEIND;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1131307&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1131610;NUT. ENTERALE, SONDE GASTROSTOMIE OU JEJUNOSTOMIE, RENOUV,BARD FRANCE SAS;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1131610&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1131804;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,PRIM;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1131804&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1131810;NUT. ORALE, HYDROLYSAT PROT, ENFANT, PDR, 15 RATIONS 200 ML,MEAD JOHNSON;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1131810&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1131827;NUT. ORALE, HYDROLYSAT PROT, ENFANT, PDR, 15 RATIONS 200 ML,MEAD JOHNSON;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1131827&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1132086;AUTOCONTROLE, 100 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,SANOFI-AVENTIS;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1132086&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1132548;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,HARTMANN;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1132548&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1133690;NEUROSTIMULATION ELECTRIQUE TRANSCUTANEE, ELECTRODE SILICONE GRAPHITE, LOT DE 4;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1133690&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1133915;DISPOSITIF STERILE DE RECUEIL DES SAIGNEES ET ACCESSOIRES,INNOSET;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1133915&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1134240;NEUROSTIMULATION ELECTRIQUE TRANSCUTANEE, ELECTRODES SOUPLES,FLOWSTIM TECHNO;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1134240&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1134783;AUTOCONTROLE, 200 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,MENARINI DIAG;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1134783&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1134866;NUT. ENTERALE, ADULTE, MEL POLY NORMOPROT. NORMOENERG, 1 000 ML,FRESENIUS KABI;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1134866&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
